match_id,season,date,venue,team1,team2,toss_winner,toss_decision,innings1_team,innings1_score,innings1_wickets,innings1_overs,innings2_team,innings2_score,innings2_wickets,innings2_overs,winner,margin,margin_type,day_night,nrr_team1,nrr_team2
1,2008,2008-04-04,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,129,7,18.2,Sunrisers Hyderabad,158,9,17.6,Mumbai Indians,29,runs,True,-1.879,1.879
2,2008,2008-04-02,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,205,7,19.6,Rajasthan Royals,161,4,12.3,Rajasthan Royals,6,wickets,True,-2.684,2.684
3,2008,2008-03-14,"Punjab Cricket Association Stadium, Mohali",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,197,4,19.9,Sunrisers Hyderabad,146,9,17.8,Sunrisers Hyderabad,1,wickets,False,1.669,-1.669
4,2008,2008-04-06,"M.A. Chidambaram Stadium, Chennai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,221,7,19.9,Mumbai Indians,141,3,13.7,Mumbai Indians,7,wickets,True,0.798,-0.798
5,2008,2008-04-25,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,182,7,18.9,Chennai Super Kings,104,8,17.0,Chennai Super Kings,2,wickets,True,3.526,-3.526
6,2008,2008-04-20,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,Kolkata Knight Riders,146,7,18.3,Gujarat Titans,204,2,10.1,Kolkata Knight Riders,58,runs,True,-12.264,12.264
7,2008,2008-04-17,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,175,6,18.3,Rajasthan Royals,116,2,16.7,Rajasthan Royals,8,wickets,True,2.621,-2.621
8,2008,2008-03-12,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,129,6,18.6,Sunrisers Hyderabad,170,1,14.4,Mumbai Indians,41,runs,False,-4.9,4.9
9,2008,2008-04-20,"M. Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,bat,Lucknow Super Giants,214,4,18.6,Gujarat Titans,145,6,15.6,Gujarat Titans,4,wickets,True,2.201,-2.201
10,2008,2008-04-15,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,156,2,18.2,Kolkata Knight Riders,195,7,14.6,Rajasthan Royals,39,runs,False,-4.758,4.758
11,2008,2008-03-04,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings,138,5,18.6,Gujarat Titans,182,6,13.6,Chennai Super Kings,44,runs,False,-5.946,5.946
12,2008,2008-04-08,"Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,field,Lucknow Super Giants,170,4,19.9,Kolkata Knight Riders,119,8,17.2,Kolkata Knight Riders,2,wickets,True,1.595,-1.595
13,2008,2008-03-22,"Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,bat,Lucknow Super Giants,197,3,18.6,Mumbai Indians,201,6,11.8,Lucknow Super Giants,4,runs,True,-6.496,6.496
14,2008,2008-03-15,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,135,6,19.3,Sunrisers Hyderabad,174,1,14.2,Rajasthan Royals,39,runs,False,-5.295,5.295
15,2008,2008-04-18,"M.A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,139,6,18.3,Kolkata Knight Riders,124,9,15.8,Kolkata Knight Riders,1,wickets,True,-0.264,0.264
16,2008,2008-03-17,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,171,8,18.2,Royal Challengers Bengaluru,121,5,14.9,Royal Challengers Bengaluru,5,wickets,True,1.297,-1.297
17,2008,2008-04-05,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,bat,Rajasthan Royals,179,6,18.9,Lucknow Super Giants,122,1,18.3,Lucknow Super Giants,9,wickets,True,2.802,-2.802
18,2008,2008-04-27,"M.A. Chidambaram Stadium, Chennai",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,133,4,19.3,Royal Challengers Bengaluru,189,7,17.7,Delhi Capitals,56,runs,False,-3.802,3.802
19,2008,2008-04-09,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,180,4,19.7,Gujarat Titans,149,8,13.2,Gujarat Titans,2,wickets,True,-2.157,2.157
20,2008,2008-03-22,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,139,3,18.1,Lucknow Super Giants,124,4,19.9,Lucknow Super Giants,6,wickets,True,1.46,-1.46
21,2008,2008-04-22,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,171,4,19.5,Sunrisers Hyderabad,130,6,13.7,Sunrisers Hyderabad,4,wickets,False,-0.714,0.714
22,2008,2008-04-26,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bengaluru,123,2,19.7,Kolkata Knight Riders,213,2,11.8,Royal Challengers Bengaluru,90,runs,True,-11.806,11.806
23,2008,2008-03-04,"Eden Gardens, Kolkata",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,155,9,19.0,Mumbai Indians,145,2,10.1,Mumbai Indians,8,wickets,False,-6.143,6.143
24,2008,2008-03-22,"M.A. Chidambaram Stadium, Chennai",Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,222,7,19.2,Punjab Kings,142,2,18.0,Punjab Kings,8,wickets,True,3.714,-3.714
25,2008,2008-04-09,"M.A. Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,128,5,18.6,Sunrisers Hyderabad,99,5,16.6,Sunrisers Hyderabad,5,wickets,True,0.927,-0.927
26,2008,2008-03-18,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants,136,7,18.2,Gujarat Titans,188,2,14.2,Lucknow Super Giants,52,runs,True,-5.78,5.78
27,2008,2008-03-07,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,Chennai Super Kings,189,8,18.0,Lucknow Super Giants,179,1,18.3,Lucknow Super Giants,9,wickets,True,0.695,-0.695
28,2008,2008-04-26,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,202,6,18.8,Delhi Capitals,97,4,14.3,Delhi Capitals,6,wickets,True,3.928,-3.928
29,2008,2008-03-05,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,229,7,19.6,Rajasthan Royals,223,1,10.7,Rajasthan Royals,9,wickets,True,-9.244,9.244
30,2008,2008-04-01,"Eden Gardens, Kolkata",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,Gujarat Titans,220,9,18.3,Chennai Super Kings,103,3,11.5,Chennai Super Kings,7,wickets,False,3.073,-3.073
31,2008,2008-04-26,"M.A. Chidambaram Stadium, Chennai",Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,167,6,19.4,Punjab Kings,200,4,13.2,Mumbai Indians,33,runs,True,-6.549,6.549
32,2008,2008-03-11,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,217,3,18.5,Gujarat Titans,176,6,14.2,Gujarat Titans,4,wickets,False,-0.697,0.697
33,2008,2008-03-29,"M.A. Chidambaram Stadium, Chennai",Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,131,2,19.8,Delhi Capitals,183,1,18.4,Gujarat Titans,52,runs,True,-3.327,3.327
34,2008,2008-04-14,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Royal Challengers Bengaluru,187,8,18.3,Gujarat Titans,203,5,15.1,Royal Challengers Bengaluru,16,runs,True,-3.17,3.17
35,2008,2008-04-11,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,126,3,19.0,Kolkata Knight Riders,104,4,12.3,Kolkata Knight Riders,6,wickets,True,-1.791,1.791
36,2008,2008-03-16,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,145,4,19.9,Punjab Kings,180,9,14.8,Kolkata Knight Riders,35,runs,True,-4.867,4.867
37,2008,2008-04-21,"Punjab Cricket Association Stadium, Mohali",Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,Lucknow Super Giants,180,6,19.3,Gujarat Titans,90,3,17.3,Gujarat Titans,7,wickets,False,4.155,-4.155
38,2008,2008-04-28,"M.A. Chidambaram Stadium, Chennai",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Rajasthan Royals,189,2,19.5,Gujarat Titans,167,1,19.4,Gujarat Titans,9,wickets,False,1.09,-1.09
