match_id,date_utc,team1,team2,venue
5000,2026-03-08T14:00:00Z,Gujarat Titans,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
5001,2026-03-09T14:00:00Z,Chennai Super Kings,Delhi Capitals,"Ekana Cricket Stadium, Lucknow"
5002,2026-03-10T14:00:00Z,Punjab Kings,Gujarat Titans,"Arun Jaitley Stadium, Delhi"
5003,2026-03-11T14:00:00Z,Delhi Capitals,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi"
5004,2026-03-12T14:00:00Z,Rajasthan Royals,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
5005,2026-03-13T14:00:00Z,Lucknow Super Giants,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru"
5006,2026-03-14T14:00:00Z,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata"
5007,2026-03-15T14:00:00Z,Punjab Kings,Royal Challengers Bengaluru,"Eden Gardens, Kolkata"
5008,2026-03-16T14:00:00Z,Punjab Kings,Lucknow Super Giants,"Eden Gardens, Kolkata"
5009,2026-03-17T14:00:00Z,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
5010,2026-03-18T14:00:00Z,Royal Challengers Bengaluru,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad"
5011,2026-03-19T14:00:00Z,Mumbai Indians,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad"
5012,2026-03-20T14:00:00Z,Rajasthan Royals,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
5013,2026-03-21T14:00:00Z,Sunrisers Hyderabad,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
5014,2026-03-22T14:00:00Z,Punjab Kings,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi"
5015,2026-03-23T14:00:00Z,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai"
5016,2026-03-24T14:00:00Z,Royal Challengers Bengaluru,Mumbai Indians,"Wankhede Stadium, Mumbai"
5017,2026-03-25T14:00:00Z,Chennai Super Kings,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru"
5018,2026-03-26T14:00:00Z,Lucknow Super Giants,Delhi Capitals,"Eden Gardens, Kolkata"
5019,2026-03-27T14:00:00Z,Sunrisers Hyderabad,Delhi Capitals,"Ekana Cricket Stadium, Lucknow"
5020,2026-03-28T14:00:00Z,Punjab Kings,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru"
5021,2026-04-01T14:00:00Z,Lucknow Super Giants,Punjab Kings,"Arun Jaitley Stadium, Delhi"
5022,2026-04-02T14:00:00Z,Sunrisers Hyderabad,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
5023,2026-04-03T14:00:00Z,Rajasthan Royals,Royal Challengers Bengaluru,"Ekana Cricket Stadium, Lucknow"
5024,2026-04-04T14:00:00Z,Delhi Capitals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad"
5025,2026-04-05T14:00:00Z,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad"
5026,2026-04-06T14:00:00Z,Sunrisers Hyderabad,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur"
5027,2026-04-07T14:00:00Z,Delhi Capitals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur"
5028,2026-04-08T14:00:00Z,Gujarat Titans,Rajasthan Royals,"M.A. Chidambaram Stadium, Chennai"
5029,2026-04-09T14:00:00Z,Sunrisers Hyderabad,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
